id_venta,id_producto,cantidad,importe
1,90,1,2902
2,82,5,11970
2,39,5,2345
2,70,2,8122
2,22,1,2069
2,79,4,9680
3,9,2,7756
3,2,2,9946
3,85,1,1856
4,4,2,4066
4,23,5,11900
5,86,4,16360
6,25,2,8030
6,31,3,10227
6,83,1,1830
6,59,4,14448
7,63,3,13011
8,53,5,8320
8,18,4,13776
8,68,5,13420
9,65,4,9692
10,36,2,5118
10,100,4,19416
10,37,3,9588
10,62,1,3848
11,13,1,2383
11,65,2,4846
11,28,1,936
12,72,2,7752
12,50,2,1454
12,56,3,7596
12,87,3,5037
12,38,4,6336
13,87,1,1679
13,81,3,7560
13,13,1,2383
14,36,4,10236
14,72,5,19380
14,38,3,4752
14,97,1,872
15,37,3,9588
16,35,5,22150
17,81,5,12600
17,46,5,15180
17,74,3,8859
18,33,2,2510
18,4,5,10165
18,24,2,2610
18,15,3,7614
18,22,5,10345
19,38,2,3168
19,98,3,8529
19,63,3,13011
20,32,3,6702
21,76,5,21430
21,35,1,4430
22,9,2,7756
22,28,3,2808
22,24,4,5220
23,64,4,15812
23,83,4,7320
24,91,2,9380
24,40,5,6075
25,55,1,1407
25,95,5,7905
25,72,1,3876
26,79,2,4840
26,86,1,4090
27,7,4,13076
27,78,4,17156
28,74,1,2953
28,91,2,9380
28,72,1,3876
28,18,2,6888
28,27,5,12510
29,58,1,4752
29,36,2,5118
29,71,4,2032
29,27,2,5004
29,66,1,1533
30,49,4,10048
30,78,3,12867
30,82,4,9576
30,7,1,3269
31,92,4,10048
31,90,3,8706
31,84,5,8225
32,72,5,19380
32,53,4,6656
32,17,3,14502
32,35,3,13290
33,47,2,5878
33,76,4,17144
33,100,1,4854
33,91,2,9380
34,10,1,4883
34,32,5,11170
35,93,3,6426
35,80,2,3962
35,88,5,12850
36,50,4,2908
36,48,2,8924
37,18,3,10332
38,62,5,19240
38,14,3,5169
38,65,5,12115
38,5,3,14331
39,44,4,11916
39,22,2,4138
39,58,4,19008
39,81,4,10080
40,44,2,5958
41,51,1,1745
41,15,1,2538
42,47,3,8817
42,29,1,1868
42,73,3,4683
43,1,5,11735
43,49,2,5024
43,66,2,3066
44,48,1,4462
44,47,2,5878
44,100,2,9708
45,12,2,1140
45,18,2,6888
45,87,4,6716
45,98,1,2843
45,52,2,5164
46,21,1,272
47,43,5,4435
47,6,3,12510
48,70,1,4061
48,54,5,7960
48,57,4,18080
49,59,2,7224
49,21,4,1088
49,59,4,14448
49,18,3,10332
49,85,3,5568
50,10,2,9766
50,34,5,2515
50,58,5,23760
50,32,3,6702
50,91,4,18760
51,31,1,3409
52,83,2,3660
52,9,4,15512
52,81,5,12600
52,38,3,4752
53,28,1,936
54,65,1,2423
54,18,2,6888
54,91,3,14070
54,8,3,12654
55,39,4,1876
56,18,5,17220
57,31,3,10227
57,41,4,3440
57,9,5,19390
57,76,3,12858
57,98,4,11372
58,43,2,1774
58,11,1,2053
59,31,1,3409
59,8,2,8436
59,97,5,4360
60,43,1,887
60,98,3,8529
60,15,1,2538
60,21,2,544
60,91,4,18760
61,9,3,11634
61,19,3,9753
62,47,4,11756
62,95,3,4743
63,8,5,21090
63,2,2,9946
63,70,3,12183
63,45,4,2980
64,4,2,4066
64,41,2,1720
65,77,4,19112
65,22,3,6207
65,38,5,7920
65,36,4,10236
66,16,3,13839
67,53,1,1664
67,8,2,8436
68,94,4,5672
69,76,4,17144
69,74,3,8859
70,66,3,4599
70,89,4,4012
70,38,3,4752
71,11,3,6159
71,79,4,9680
71,100,4,19416
71,92,1,2512
72,94,3,4254
72,41,4,3440
72,51,2,3490
73,28,1,936
73,24,3,3915
73,19,1,3251
74,32,3,6702
74,14,2,3446
74,55,2,2814
75,3,4,19856
75,2,5,24865
76,22,4,8276
76,23,4,9520
76,24,1,1305
76,11,2,4106
77,53,2,3328
77,41,1,860
77,34,5,2515
77,98,2,5686
77,39,2,938
78,37,3,9588
78,79,5,12100
78,17,2,9668
78,85,1,1856
78,39,2,938
79,81,2,5040
79,56,2,5064
80,39,5,2345
80,30,3,14625
80,41,5,4300
81,10,2,9766
82,38,1,1584
82,28,2,1872
82,29,5,9340
82,82,2,4788
83,5,2,9554
83,26,2,2002
83,73,5,7805
83,51,2,3490
84,83,5,9150
84,76,4,17144
85,32,4,8936
85,80,2,3962
86,66,2,3066
86,1,4,9388
86,13,5,11915
86,41,3,2580
87,53,2,3328
87,86,2,8180
88,7,5,16345
88,53,5,8320
88,8,4,16872
89,72,2,7752
90,79,4,9680
90,6,2,8340
91,57,3,13560
92,10,2,9766
92,43,4,3548
93,80,4,7924
93,66,3,4599
93,91,3,14070
94,24,1,1305
94,86,5,20450
94,98,2,5686
95,72,5,19380
95,12,1,570
96,81,3,7560
96,68,1,2684
96,11,2,4106
96,50,3,2181
97,59,5,18060
97,36,1,2559
97,4,3,6099
98,28,4,3744
98,61,1,4982
98,29,1,1868
98,83,3,5490
99,40,5,6075
100,13,3,7149
100,18,4,13776
100,58,2,9504
100,57,1,4520
100,9,4,15512
101,34,4,2012
102,78,3,12867
102,36,3,7677
103,79,5,12100
103,43,5,4435
103,34,1,503
103,70,1,4061
104,95,2,3162
104,68,3,8052
104,68,5,13420
105,13,2,4766
105,4,4,8132
105,58,2,9504
105,82,4,9576
105,43,5,4435
106,88,3,7710
107,7,4,13076
107,11,2,4106
107,12,4,2280
107,5,4,19108
108,90,4,11608
109,18,1,3444
109,74,1,2953
109,20,2,3142
109,44,5,14895
110,6,1,4170
110,59,3,10836
110,6,5,20850
111,97,4,3488
111,93,3,6426
111,20,2,3142
111,23,4,9520
112,55,1,1407
112,21,4,1088
112,43,5,4435
112,13,2,4766
112,59,1,3612
113,53,2,3328
113,92,3,7536
114,8,1,4218
114,84,1,1645
114,10,1,4883
114,55,5,7035
114,92,4,10048
115,17,4,19336
115,97,5,4360
115,95,4,6324
115,84,2,3290
116,65,1,2423
116,35,2,8860
116,42,4,4780
116,54,5,7960
116,90,4,11608
117,67,4,18876
117,61,2,9964
118,68,5,13420
118,68,3,8052
118,70,2,8122
118,93,3,6426
118,50,2,1454
119,45,5,3725
120,20,5,7855
